ssim_no_correct,trial,label,ssim_score,ber_at_sigma_0p05,ssim_pipeline,retained_value_vs_random,n_nodes,errors,regret_ratio_vs_age_only,ssim_corrupt,recall,claim,n_trials,mse_score,state_accuracy_at_sigma_0p05,ber,corrupt_size,f1,n_bleach,total,uplift_vs_each_ablation,retained_value_triple,min_success_rate,state_accuracy,uplift_vs_no_verify,mse_baseline_auc,ssim_no_verify,roc_auc,age_only_regret,n_repair,crosstalk,ssim_delta,effective_capacity_gain_vs_single_channel,n_protected,retained_value_random,seed,ssim_vs_mse_auc_delta,precision,sigma,fnr_at_threshold,adaptive_threshold,triple_regret
,0,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,42,,,,,,
,1,1,0.30522519846059387,,,,,,,,,,,0.028458604194952327,,,60,,,,,,,,,,,,,,,,,,,43,,,,,,
,2,1,0.9999999902668576,,,,,,,,,,,5.008317685938972e-10,,,70,,,,,,,,,,,,,,,,,,,44,,,,,,
,3,1,0.201198037015049,,,,,,,,,,,0.04050601269541917,,,90,,,,,,,,,,,,,,,,,,,45,,,,,,
,4,1,0.9999999962291083,,,,,,,,,,,2.870893306906893e-10,,,60,,,,,,,,,,,,,,,,,,,46,,,,,,
,5,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,47,,,,,,
,6,1,0.9423134417111241,,,,,,,,,,,0.004285786822495726,,,30,,,,,,,,,,,,,,,,,,,48,,,,,,
,7,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,49,,,,,,
,8,1,0.9408230473210569,,,,,,,,,,,0.003289752973564302,,,80,,,,,,,,,,,,,,,,,,,50,,,,,,
,9,1,0.9999999994616894,,,,,,,,,,,3.997713989000912e-11,,,50,,,,,,,,,,,,,,,,,,,51,,,,,,
,10,1,0.30233437722829126,,,,,,,,,,,0.028681345474304447,,,90,,,,,,,,,,,,,,,,,,,52,,,,,,
,11,1,0.9999980702918574,,,,,,,,,,,1.0792895852521051e-07,,,80,,,,,,,,,,,,,,,,,,,53,,,,,,
,12,1,0.9999999987866165,,,,,,,,,,,4.973628925935053e-11,,,40,,,,,,,,,,,,,,,,,,,54,,,,,,
,13,1,0.9711371876949635,,,,,,,,,,,0.0005280964950980149,,,90,,,,,,,,,,,,,,,,,,,55,,,,,,
,14,1,0.9999991943981118,,,,,,,,,,,1.601392377660415e-08,,,40,,,,,,,,,,,,,,,,,,,56,,,,,,
,15,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,57,,,,,,
,16,1,0.9595143035749815,,,,,,,,,,,0.001022907223189074,,,60,,,,,,,,,,,,,,,,,,,58,,,,,,
