hologram_largest_cluster_fill_ratio,correction_interior_rewrite_capture_rate,avg_hologram_damage_cluster_count,avg_failed_hologram_threshold_gap_after_recovery,correction_interior_rewrite_coverage_fraction,min_success_rate,graph_critical_ratio_no_consolidate_bleach,pipeline_failure_rate,avg_oomphlap_final_bit_error_count,failure_count_repair_backlog,threshold_crossing_recovery_rate,hologram_missing_count,avg_correction_rewrite_fraction,ssim_no_consolidate_bleach,correction_spillover_coverage_fraction,oomphlap_channel_failure_stuck_low_rate,no_verify_success,avg_oomphlap_min_threshold_distance,avg_correction_attempts_used,correction_spillover_fraction,avg_hologram_focus_interior_share,failure_reason_no_correction_write,avg_hologram_largest_cluster_share,avg_correction_interior_rewrite_capture_rate,hologram_focus_boundary_share,avg_hologram_damage_fraction,correction_spillover_capture_rate,failure_count_critical_node_backlog,avg_oomphlap_retry_attempts_used,claim,focus_source_missing_rate,oomphlap_failed_channel,avg_correction_spillover_candidate_count,avg_hologram_missing_to_diff_ratio,hologram_damage_cluster_count,oomphlap_retry_success_rate_given_attempt,avg_hologram_largest_cluster_bbox_fraction,no_consolidate_bleach_success_rate,failure_reason_no_consolidate_bleach,hologram_largest_cluster_share,avg_oomphlap_initial_bit_error_count,avg_correction_interior_candidate_count,correction_second_pass_recovery_delta,avg_correction_interior_selected_count,correction_rewrite_recovery_delta,uplift_vs_no_correction_write,oomphlap_verify_trigger_channel_failure,failure_count_verify_missed_oomphlap,ssim_pipeline,avg_hologram_missing_fraction,avg_oomphlap_retry_targeted_success_rate,block_dropout_recovery_delta,failure_reason_no_verify,hologram_threshold_gap_closed_fraction,oomphlap_final_bit_error_count,correction_boundary_rewrite_coverage_fraction,avg_correction_spillover_fraction,correction_rewrite_coverage_fraction,oomphlap_retry_attempts_used,avg_hologram_severity_score,oomphlap_verify_margin_trigger_rate,hologram_threshold_crossed_after_recovery,correction_boundary_rewrite_capture_rate,uplift_vs_modeled_ablations,correction_rewrite_fraction,correction_rewrite_applied,avg_correction_rewrite_coverage_fraction,all_ablations_modeled,phase_noise_success_rate,failure_count_oomphlap_retry_failed,distributed_dropout_threshold_crossing_rate,no_consolidate_bleach_success,correction_spillover_recovery_delta,uplift_vs_no_verify,ssim_no_correction_write,hologram_threshold_gap_after_recovery,corrupt_size,correction_focus_strength,correction_interior_candidate_count,correction_total_recovery_delta,avg_correction_spillover_coverage_fraction,oomphlap_channel_failure_none_rate,correction_spillover_candidate_count,phase_noise_recovery_delta,correction_interior_selected_count,scenario_seed,hologram_focus_source,correction_boundary_rewrite_fraction,correction_first_pass_recovery_delta,oomphlap_verify_flag,block_dropout_success_rate,oomphlap_verify_channel_failure_trigger_rate,hologram_damage_fraction,pipeline_success,correction_spillover_polish_applied,avg_hologram_largest_cluster_fill_ratio,avg_first_pass_recovery_delta,oomphlap_retry_succeeded,oomphlap_retry_targeted_success_rate,correction_used_second_pass,avg_correction_interior_rewrite_coverage_fraction,correction_interior_rewrite_fraction,avg_correction_boundary_rewrite_coverage_fraction,block_dropout_threshold_crossing_rate,avg_hologram_threshold_gap_closed_fraction,hologram_focus_interior_share,hologram_missing_to_diff_ratio,failure_count_verify_missed_hologram,avg_correction_boundary_rewrite_fraction,avg_correction_boundary_selected_count,oomphlap_verify_trigger_margin,avg_correction_focus_strength,avg_hologram_threshold_gap_after_recovery,avg_correction_spillover_capture_rate,avg_failed_oomphlap_retry_draw_minus_success_rate,ssim_no_verify,correction_attempts_used,avg_correction_boundary_candidate_count,hologram_threshold_gap_before_recovery,oomphlap_verify_rate,oomphlap_initial_bit_error_count,hologram_diff_count,avg_hologram_focus_boundary_share,avg_correction_spillover_selected_count,distributed_dropout_success_rate,uplift_vs_no_consolidate_bleach,avg_rewrite_recovery_delta,hologram_geometry_score,oomphlap_retry_draw_minus_success_rate,avg_hologram_missing_count,avg_correction_boundary_rewrite_capture_rate,spillover_usage_rate,distributed_dropout_recovery_delta,avg_spillover_recovery_delta,correction_boundary_selected_count,avg_oomphlap_retry_draw_minus_success_rate,n_trials,failure_detail_full,avg_hologram_geometry_score,failure_count_multi_stage,avg_correction_interior_rewrite_fraction,oomphlap_retry_strategy,no_verify_success_rate,avg_second_pass_recovery_delta,full_success_rate,rewrite_usage_rate,graph_critical_ratio_pipeline,avg_hologram_diff_count,hologram_largest_cluster_bbox_fraction,second_pass_usage_rate,hologram_severity_score,oomphlap_retry_attempt_rate,oomphlap_channel_failure,hologram_missing_fraction,no_correction_write_success,modeled_ablation_count,declared_ablation_count,oomphlap_channel_failure_random_rate,avg_total_recovery_delta,avg_oomphlap_retry_max_attempts,trial,correction_best_stage,oomphlap_retry_max_attempts,phase_noise_threshold_crossing_rate,oomphlap_retry_attempted,oomphlap_min_threshold_distance,oomphlap_retry_candidate_count,oomphlap_retry_targeted_strategy_rate,avg_hologram_threshold_gap_before_recovery,failure_reason_full,failure_count_partial_hologram_correction_failure,hologram_mode,oomphlap_retry_margin_strategy_rate,oomphlap_channel_failure_stuck_high_rate,correction_boundary_candidate_count,no_correction_write_success_rate,correction_spillover_selected_count,oomphlap_retry_generic_strategy_rate
0.503565,1.0,,,0.847926,,0.153333,,,,,1,,0.999999,0.470588,,0,,,0.43195,,multi_stage_failure,,,0.115865,,0.470588,,,c4_sim4_pipeline,,0,,,38,,,,graph_maintenance_disabled,0.866564,,,0.045207,,0.042251,1.0,1,,0.999999,,,,multi_stage_failure,1.0,0,0.073733,,0.921659,1,,,1,1.0,,0.552303,1,,,,,,0,0.691679,1.0,0.109859,0.0,40,0.737024,552,0.89014,,,51,,552,42,diff_mask,0.337198,0.111002,1,,,0.039795,1,1,,,1,0.967015,1,,1.0,,,,0.884135,0.001534,,,,0,,,,,0.109859,2,,0.840141,,1,652,,,,1.0,,0.775815,-0.128557,,,,,,48,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.068481,,0.175683,,random,6.1e-05,0,,,,,,0,spillover_polish,2,,1,0.173591,1,,,none,,block_dropout,,,48,,24,
1.0,0.0,,,0.0,,0.133333,,,,,0,,0.995669,0.0,,1,,,0.0,,none,,,0.888889,,0.0,,,c4_sim4_pipeline,,0,,,31,,,,graph_maintenance_disabled,0.134328,,,0.0,,0.0,0.0,1,,0.995669,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.171032,0,,,,,,0,0.0,0.0,0.995669,0.0,31,0.157836,0,0.0,,,0,,0,43,diff_mask,0.097889,0.0,1,,,0.004089,1,0,,,0,0.0,0,,0.337323,,,,0.111111,0.0,,,,0,,,,,0.995669,0,,0.0,,0,67,,,,1.0,,0.350746,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.000549,,0.028778,,stuck_high,0.0,1,,,,,,1,pre,0,,0,0.097687,0,,,none,,distributed_dropout,,,0,,0,
0.476316,0.0,,,0.0,,0.113333,,,,,0,,0.999466,0.0,,1,,,0.0,,none,,,0.194737,,0.0,,,c4_sim4_pipeline,,-1,,,30,,,,graph_maintenance_disabled,0.85782,,,0.0,,0.0,0.0,0,,0.999466,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.146398,0,,,,,,0,0.0,0.0,0.999466,0.0,45,0.076244,0,0.0,,,0,,0,44,diff_mask,0.061712,0.0,0,,,0.012878,1,0,,,0,0.0,0,,0.255547,,,,0.805263,0.0,,,,0,,,,,0.999466,0,,0.0,,0,211,,,,1.0,,0.762444,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.023193,,0.023759,,none,0.0,1,,,,,,2,pre,0,,0,0.144632,0,,,none,,phase_noise,,,0,,0,
0.510526,0.0,,,0.0,,0.173333,,,,,0,,0.999493,0.0,,1,,,0.0,,none,,,0.194737,,0.0,,,c4_sim4_pipeline,,1,,,13,,,,graph_maintenance_disabled,0.937198,,,0.0,,0.0,0.0,1,,0.999493,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.152718,0,,,,,,0,0.0,0.0,0.999493,0.0,42,0.083053,0,0.0,,,0,,0,45,diff_mask,0.062217,0.0,1,,,0.012634,1,0,,,0,0.0,0,,0.262685,,,,0.805263,0.0,,,,0,,,,,0.999493,0,,0.0,,0,207,,,,1.0,,0.83053,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.023193,,0.025788,,stuck_high,0.0,1,,,,,,3,pre,0,,0,0.152444,0,,,none,,phase_noise,,,0,,0,
1.0,0.0,,,0.0,,0.153333,,,,,0,,0.984576,0.0,,1,,,0.0,,none,,,0.888889,,0.0,,,c4_sim4_pipeline,,2,,,21,,,,graph_maintenance_disabled,0.128571,,,0.0,,0.0,0.0,1,,0.984576,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.169898,0,,,,,,0,0.0,0.0,0.984576,0.0,25,0.155893,0,0.0,,,0,,0,46,diff_mask,0.097572,0.0,1,,,0.004272,1,0,,,0,0.0,0,,0.335373,,,,0.111111,0.0,,,,0,,,,,0.984576,0,,0.0,,0,70,,,,1.0,,0.346429,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.000549,,0.028476,,random,0.0,1,,,,,,4,pre,0,,0,0.158907,0,,,none,,distributed_dropout,,,0,,0,
0.483716,1.0,,,0.862254,,0.14,,,,,1,,1.0,0.827586,,0,,,0.326553,,correction_write_disabled_hologram,,,0.12069,,0.827586,,,c4_sim4_pipeline,,0,,,30,,,,graph_maintenance_disabled,0.901786,,,0.073564,,0.271515,1.0,1,,1.0,,,,verify_disabled_hologram,1.0,0,0.085868,,0.948122,0,,,1,1.0,,0.571067,1,,,,,,0,0.350545,1.0,0.265653,0.0,36,0.757405,482,0.734347,,,29,,482,47,diff_mask,0.346955,0.038723,1,,,0.03418,1,1,,,0,0.0,1,,1.0,,,,0.87931,0.001786,,,,0,,,,,0.265653,2,,0.684347,,0,560,,,,1.0,,0.797268,0.0,,,,,,48,,,none,,,,none,,,,,0.0,,0.063721,,0.17801,,stuck_high,6.1e-05,0,,,,,,5,spillover_polish,0,,0,0.115439,0,,,none,,block_dropout,,,48,,24,
0.522491,1.0,,,0.939722,,0.153333,,,,,1,,1.0,0.0,,0,,,0.0,,multi_stage_failure,,,0.114187,,0.0,,,c4_sim4_pipeline,,1,,,28,,,,graph_maintenance_disabled,0.932099,,,0.0,,0.770917,1.0,1,,1.0,,,,multi_stage_failure,1.0,0,0.060278,,1.0,1,,,1,1.0,,0.600068,1,,,,,,0,0.0,1.0,0.044296,0.0,34,0.788212,608,0.955704,,,0,,608,48,diff_mask,0.362035,0.184787,1,,,0.039551,1,0,,,1,0.758206,0,,1.0,,,,0.885813,0.001543,,,,0,,,,,0.044296,1,,0.905704,,1,648,,,,1.0,,0.829697,-0.405568,,,,,,39,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.070557,,0.186604,,stuck_low,6.1e-05,0,,,,,,6,rewrite,2,,1,0.169461,1,,,none,,block_dropout,,,39,,0,
0.475694,0.0,,,0.0,,0.146667,,,,,0,,0.999925,0.0,,1,,,0.0,,none,,,0.222222,,0.0,,,c4_sim4_pipeline,,2,,,55,,,,graph_maintenance_disabled,0.533074,,,0.0,,0.0,0.0,1,,0.999925,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.353646,0,,,,,,0,0.0,0.0,0.999925,0.0,46,0.492793,0,0.0,,,0,,0,49,diff_mask,0.233896,0.0,1,,,0.015686,1,0,,,0,0.0,0,,0.897159,,,,0.777778,0.0,,,,1,,,,,0.999925,0,,0.0,,0,257,,,,1.0,,0.518729,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.017578,,0.110214,,stuck_low,0.0,1,,,,,,7,pre,0,,0,0.054319,0,,,none,,block_dropout,,,0,,0,
0.423559,0.0,,,0.0,,0.086667,,,,,0,,0.999585,0.0,,0,,,0.0,,correction_write_disabled_oomphlap,,,0.190476,,0.0,,,c4_sim4_pipeline,,1,,,26,,,,graph_maintenance_disabled,0.857868,,,0.0,,0.0,1.0,1,,0.999585,,,,verify_disabled_oomphlap,0.0,0,0.0,,0.0,1,,,0,0.0,,0.145218,0,,,,,,0,0.0,1.0,0.999585,0.0,42,0.074929,0,0.0,,,0,,0,50,diff_mask,0.061617,0.0,1,,,0.012024,1,0,,,1,0.745572,0,,0.254209,,,,0.809524,0.0,,,,0,,,,,0.999585,0,,0.0,,1,197,,,,1.0,,0.749291,-0.179002,,,,,,0,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.024353,,0.023332,,random,0.0,0,,,,,,8,pre,2,,1,0.151941,1,,,none,,phase_noise,,,0,,0,
0.944444,1.0,,,0.120968,,0.146667,,,,,1,,0.997942,0.411111,,0,,,0.404933,,multi_stage_failure,,,0.555556,,0.411111,,,c4_sim4_pipeline,,2,,,34,,,,graph_maintenance_disabled,0.274194,,,0.037258,,0.524084,1.0,1,,0.997942,,,,multi_stage_failure,1.0,0,0.153226,,0.274194,1,,,1,1.0,,0.196428,1,,,,,,0,0.330447,1.0,0.09536,0.0,49,0.19879,15,0.902582,,,90,,15,51,diff_mask,0.105,0.010794,1,,,0.007568,1,1,,,1,0.910082,1,,0.37992,,,,0.444444,0.008065,,,,0,,,,,0.09536,2,,0.85464,,1,124,,,,1.0,,0.441756,-0.534756,,,,,,19,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.002197,,0.04163,,random,6.1e-05,0,,,,,,9,spillover_polish,2,,1,0.130208,1,,,none,,distributed_dropout,,,19,,37,
