uplift_vs_modeled_ablations,no_consolidate_bleach_success_rate,trial,failure_count_oomphlap_retry_failed,pipeline_failure_rate,no_correction_write_success_rate,corrupt_size,failure_count_partial_hologram_correction_failure,no_verify_success,no_consolidate_bleach_success,failure_reason_no_correction_write,failure_count_verify_missed_oomphlap,uplift_vs_no_consolidate_bleach,modeled_ablation_count,failure_count_multi_stage,failure_count_critical_node_backlog,failure_count_verify_missed_hologram,scenario_seed,failure_count_repair_backlog,all_ablations_modeled,ssim_no_correction_write,no_verify_success_rate,n_trials,claim,graph_critical_ratio_no_consolidate_bleach,declared_ablation_count,ssim_no_consolidate_bleach,graph_critical_ratio_pipeline,uplift_vs_no_correction_write,failure_reason_full,ssim_pipeline,no_correction_write_success,pipeline_success,uplift_vs_no_verify,min_success_rate,failure_reason_no_verify,failure_reason_no_consolidate_bleach,full_success_rate,ssim_no_verify,failure_detail_full,hologram_mode
,,0,,,,40,,0,0,multi_stage_failure,,0.0,,,,,42,,,0.109859,,,c4_sim4_pipeline,0.153333,,0.042148,0.0,0.0,multi_stage_failure,0.042148,0,0,0.0,,multi_stage_failure,multi_stage_failure,,0.109859,"partial_hologram_correction_failure,oomphlap_retry_failed",block_dropout
,,1,,,,31,,1,0,none,,1.0,,,,,43,,,0.995669,,,c4_sim4_pipeline,0.133333,,0.995669,0.0,0.0,none,0.995669,1,1,0.0,,none,graph_maintenance_disabled,,0.995669,none,distributed_dropout
,,2,,,,45,,1,0,none,,1.0,,,,,44,,,0.999466,,,c4_sim4_pipeline,0.113333,,0.999466,0.0,0.0,none,0.999466,1,1,0.0,,none,graph_maintenance_disabled,,0.999466,none,phase_noise
,,3,,,,42,,1,0,none,,1.0,,,,,45,,,0.999493,,,c4_sim4_pipeline,0.173333,,0.999493,0.0,0.0,none,0.999493,1,1,0.0,,none,graph_maintenance_disabled,,0.999493,none,phase_noise
,,4,,,,25,,1,0,none,,1.0,,,,,46,,,0.984576,,,c4_sim4_pipeline,0.153333,,0.984576,0.0,0.0,none,0.984576,1,1,0.0,,none,graph_maintenance_disabled,,0.984576,none,distributed_dropout
,,5,,,,36,,0,0,correction_write_disabled_hologram,,0.0,,,,,47,,,0.265653,,,c4_sim4_pipeline,0.14,,0.081933,0.0,0.0,partial_hologram_correction_failure,0.081933,0,0,0.0,,verify_disabled_hologram,multi_stage_failure,,0.265653,partial_hologram_correction_failure,block_dropout
,,6,,,,34,,0,0,multi_stage_failure,,0.0,,,,,48,,,0.044296,,,c4_sim4_pipeline,0.153333,,0.044247,0.0,0.0,partial_hologram_correction_failure,0.044247,0,0,0.0,,multi_stage_failure,multi_stage_failure,,0.044296,partial_hologram_correction_failure,block_dropout
,,7,,,,46,,1,0,none,,1.0,,,,,49,,,0.999925,,,c4_sim4_pipeline,0.146667,,0.999925,0.0,0.0,none,0.999925,1,1,0.0,,none,graph_maintenance_disabled,,0.999925,none,block_dropout
,,8,,,,42,,0,0,correction_write_disabled_oomphlap,,1.0,,,,,50,,,0.999585,,,c4_sim4_pipeline,0.086667,,0.999585,0.0,1.0,none,0.999585,0,1,1.0,,verify_disabled_oomphlap,graph_maintenance_disabled,,0.999585,none,phase_noise
,,9,,,,49,,0,0,multi_stage_failure,,0.0,,,,,51,,,0.09536,,,c4_sim4_pipeline,0.146667,,0.035068,0.0,0.0,partial_hologram_correction_failure,0.035068,0,0,0.0,,multi_stage_failure,multi_stage_failure,,0.09536,partial_hologram_correction_failure,distributed_dropout
