uplift_vs_no_correction_write,corrupt_size,trial,failure_count_repair_backlog,hologram_largest_cluster_share,distributed_dropout_threshold_crossing_rate,avg_hologram_damage_fraction,min_success_rate,avg_hologram_largest_cluster_fill_ratio,correction_total_recovery_delta,avg_hologram_severity_score,n_trials,avg_hologram_largest_cluster_share,ssim_no_correction_write,pipeline_success,failure_reason_full,rewrite_usage_rate,no_consolidate_bleach_success,hologram_mode,second_pass_usage_rate,avg_hologram_largest_cluster_bbox_fraction,block_dropout_recovery_delta,correction_used_second_pass,no_correction_write_success_rate,correction_rewrite_coverage_fraction,avg_correction_attempts_used,failure_reason_no_consolidate_bleach,hologram_missing_fraction,failure_count_oomphlap_retry_failed,uplift_vs_no_verify,correction_second_pass_recovery_delta,hologram_severity_score,hologram_geometry_score,failure_count_critical_node_backlog,correction_first_pass_recovery_delta,avg_hologram_missing_fraction,ssim_pipeline,failure_count_verify_missed_hologram,no_verify_success_rate,failure_count_partial_hologram_correction_failure,failure_reason_no_verify,block_dropout_success_rate,distributed_dropout_success_rate,avg_first_pass_recovery_delta,declared_ablation_count,avg_correction_rewrite_fraction,all_ablations_modeled,no_verify_success,avg_correction_focus_strength,correction_attempts_used,correction_rewrite_recovery_delta,distributed_dropout_recovery_delta,hologram_damage_cluster_count,avg_second_pass_recovery_delta,no_consolidate_bleach_success_rate,ssim_no_verify,full_success_rate,hologram_largest_cluster_fill_ratio,hologram_threshold_crossed_after_recovery,pipeline_failure_rate,scenario_seed,no_correction_write_success,correction_rewrite_applied,hologram_damage_fraction,avg_correction_rewrite_coverage_fraction,correction_focus_strength,avg_hologram_geometry_score,failure_count_multi_stage,phase_noise_threshold_crossing_rate,graph_critical_ratio_pipeline,modeled_ablation_count,phase_noise_success_rate,avg_rewrite_recovery_delta,claim,uplift_vs_modeled_ablations,graph_critical_ratio_no_consolidate_bleach,block_dropout_threshold_crossing_rate,uplift_vs_no_consolidate_bleach,hologram_largest_cluster_bbox_fraction,ssim_no_consolidate_bleach,failure_count_verify_missed_oomphlap,threshold_crossing_recovery_rate,phase_noise_recovery_delta,failure_detail_full,avg_total_recovery_delta,correction_rewrite_fraction,avg_hologram_damage_cluster_count,failure_reason_no_correction_write
0.0,40,0,,1.0,,,,,0.114372,,,,0.109859,0,multi_stage_failure,,0,block_dropout,,,,1,,0.0,,multi_stage_failure,6.1e-05,,0.0,0.014338,0.213678,1.0,,0.100034,,0.224231,,,,multi_stage_failure,,,,,,,0,,2,0.0,,1,,,0.109859,,1.0,0,,42,0,1,0.039795,,0.95,,,,0.0,,,,c4_sim4_pipeline,,0.153333,,0.0,6.1e-05,0.224231,,,,"partial_hologram_correction_failure,oomphlap_retry_failed",,0.765,,multi_stage_failure
0.0,31,1,,0.134328,,,,,0.0,,,,0.995669,1,none,,0,distributed_dropout,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.028778,0.350746,,0.0,,0.995669,,,,none,,,,,,,1,,0,0.0,,31,,,0.995669,,1.0,0,,43,1,0,0.004089,,0.157836,,,,0.0,,,,c4_sim4_pipeline,,0.133333,,1.0,0.000549,0.995669,,,,none,,0.171032,,none
0.0,45,2,,0.85782,,,,,0.0,,,,0.999466,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.023759,0.762444,,0.0,,0.999466,,,,none,,,,,,,1,,0,0.0,,30,,,0.999466,,0.476316,0,,44,1,0,0.012878,,0.076244,,,,0.0,,,,c4_sim4_pipeline,,0.113333,,1.0,0.023193,0.999466,,,,none,,0.146398,,none
0.0,42,3,,0.937198,,,,,0.0,,,,0.999493,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.025788,0.83053,,0.0,,0.999493,,,,none,,,,,,,1,,0,0.0,,13,,,0.999493,,0.510526,0,,45,1,0,0.012634,,0.083053,,,,0.0,,,,c4_sim4_pipeline,,0.173333,,1.0,0.023193,0.999493,,,,none,,0.152718,,none
0.0,25,4,,0.128571,,,,,0.0,,,,0.984576,1,none,,0,distributed_dropout,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.028476,0.346429,,0.0,,0.984576,,,,none,,,,,,,1,,0,0.0,,21,,,0.984576,,1.0,0,,46,1,0,0.004272,,0.155893,,,,0.0,,,,c4_sim4_pipeline,,0.153333,,1.0,0.000549,0.984576,,,,none,,0.169898,,none
0.0,36,5,,1.0,,,,,0.041028,,,,0.265653,0,partial_hologram_correction_failure,,0,block_dropout,,,,1,,0.0,,multi_stage_failure,6.1e-05,,0.0,0.029917,0.21219,1.0,,0.011112,,0.306681,,,,verify_disabled_hologram,,,,,,,0,,2,0.0,,1,,,0.265653,,1.0,0,,47,0,1,0.03418,,0.95,,,,0.0,,,,c4_sim4_pipeline,,0.14,,0.0,6.1e-05,0.306681,,,,partial_hologram_correction_failure,,0.765,,correction_write_disabled_hologram
0.0,34,6,,1.0,,,,,0.229573,,,,0.044296,0,partial_hologram_correction_failure,,0,block_dropout,,,,1,,0.001543,,multi_stage_failure,6.1e-05,,0.0,0.037795,0.213615,1.0,,0.090311,,0.273868,,,,multi_stage_failure,,,,,,,0,,2,0.101466,,1,,,0.044296,,1.0,0,,48,0,1,0.039551,,0.95,,,,0.0,,,,c4_sim4_pipeline,,0.153333,,0.0,6.1e-05,0.273868,,,,partial_hologram_correction_failure,,0.765,,multi_stage_failure
0.0,46,7,,0.533074,,,,,0.0,,,,0.999925,1,none,,0,block_dropout,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.110214,0.518729,,0.0,,0.999925,,,,none,,,,,,,1,,0,0.0,,55,,,0.999925,,0.475694,0,,49,1,0,0.015686,,0.492793,,,,0.0,,,,c4_sim4_pipeline,,0.146667,,1.0,0.017578,0.999925,,,,none,,0.353646,,none
1.0,42,8,,0.857868,,,,,0.0,,,,0.999585,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,1.0,0.0,0.023332,0.749291,,0.0,,0.999585,,,,verify_disabled_oomphlap,,,,,,,0,,0,0.0,,26,,,0.999585,,0.423559,0,,50,0,0,0.012024,,0.074929,,,,0.0,,,,c4_sim4_pipeline,,0.086667,,1.0,0.024353,0.999585,,,,none,,0.145218,,correction_write_disabled_oomphlap
0.0,49,9,,1.0,,,,,0.550514,,,,0.09536,0,partial_hologram_correction_failure,,0,distributed_dropout,,,,1,,0.008065,,multi_stage_failure,6.1e-05,,0.0,0.020268,0.086204,1.0,,0.011815,,0.645874,,,,multi_stage_failure,,,,,,,0,,2,0.518432,,1,,,0.09536,,1.0,0,,51,0,1,0.007568,,0.45,,,,0.0,,,,c4_sim4_pipeline,,0.146667,,0.0,6.1e-05,0.645874,,,,partial_hologram_correction_failure,,0.415,,multi_stage_failure
