no_correction_write_success_rate,phase_noise_success_rate,avg_second_pass_recovery_delta,distributed_dropout_success_rate,failure_reason_no_correction_write,modeled_ablation_count,uplift_vs_no_consolidate_bleach,n_trials,no_verify_success_rate,pipeline_failure_rate,failure_count_partial_hologram_correction_failure,avg_correction_attempts_used,failure_count_oomphlap_retry_failed,declared_ablation_count,correction_second_pass_recovery_delta,correction_first_pass_recovery_delta,correction_total_recovery_delta,full_success_rate,avg_hologram_severity_score,failure_count_verify_missed_hologram,no_consolidate_bleach_success,hologram_severity_score,graph_critical_ratio_no_consolidate_bleach,pipeline_success,failure_count_critical_node_backlog,failure_count_verify_missed_oomphlap,uplift_vs_no_correction_write,avg_hologram_damage_fraction,hologram_damage_fraction,scenario_seed,correction_attempts_used,avg_first_pass_recovery_delta,second_pass_usage_rate,avg_total_recovery_delta,block_dropout_success_rate,min_success_rate,avg_hologram_missing_fraction,all_ablations_modeled,hologram_missing_fraction,uplift_vs_modeled_ablations,distributed_dropout_recovery_delta,failure_count_repair_backlog,no_correction_write_success,phase_noise_recovery_delta,ssim_no_consolidate_bleach,failure_detail_full,failure_reason_no_verify,failure_reason_full,ssim_no_verify,failure_reason_no_consolidate_bleach,uplift_vs_no_verify,no_consolidate_bleach_success_rate,no_verify_success,trial,hologram_mode,ssim_pipeline,ssim_no_correction_write,corrupt_size,claim,graph_critical_ratio_pipeline,failure_count_multi_stage,block_dropout_recovery_delta,correction_used_second_pass
,,,,multi_stage_failure,,0.0,,,,,,,,0.0,0.0,0.0,,,,0,0.013672,0.153333,0,,,0.0,,0.039795,42,2,,,,,,,,6.1e-05,,,,0,,0.109859,"partial_hologram_correction_failure,oomphlap_retry_failed",multi_stage_failure,multi_stage_failure,0.109859,multi_stage_failure,0.0,,0,0,block_dropout,0.109859,0.109859,40,c4_sim4_pipeline,0.0,,,1
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000697,0.133333,1,,,0.0,,0.004089,43,0,,,,,,,,0.0,,,,1,,0.995669,none,none,none,0.995669,graph_maintenance_disabled,0.0,,1,1,distributed_dropout,0.995669,0.995669,31,c4_sim4_pipeline,0.0,,,0
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000654,0.113333,1,,,0.0,,0.012878,44,0,,,,,,,,0.0,,,,1,,0.999466,none,none,none,0.999466,graph_maintenance_disabled,0.0,,1,2,phase_noise,0.999466,0.999466,45,c4_sim4_pipeline,0.0,,,0
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.00064,0.173333,1,,,0.0,,0.012634,45,0,,,,,,,,0.0,,,,1,,0.999493,none,none,none,0.999493,graph_maintenance_disabled,0.0,,1,3,phase_noise,0.999493,0.999493,42,c4_sim4_pipeline,0.0,,,0
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.00074,0.153333,1,,,0.0,,0.004272,46,0,,,,,,,,0.0,,,,1,,0.984576,none,none,none,0.984576,graph_maintenance_disabled,0.0,,1,4,distributed_dropout,0.984576,0.984576,25,c4_sim4_pipeline,0.0,,,0
,,,,correction_write_disabled_hologram,,0.0,,,,,,,,0.0,0.0,0.0,,,,0,0.012184,0.14,0,,,0.0,,0.03418,47,2,,,,,,,,6.1e-05,,,,0,,0.265653,partial_hologram_correction_failure,verify_disabled_hologram,partial_hologram_correction_failure,0.265653,multi_stage_failure,0.0,,0,5,block_dropout,0.265653,0.265653,36,c4_sim4_pipeline,0.0,,,1
,,,,multi_stage_failure,,0.0,,,,,,,,0.013061,0.0,0.013061,,,,0,0.013609,0.153333,0,,,0.0,,0.039551,48,2,,,,,,,,6.1e-05,,,,0,,0.057357,partial_hologram_correction_failure,multi_stage_failure,partial_hologram_correction_failure,0.044296,multi_stage_failure,0.0,,0,6,block_dropout,0.057357,0.044296,34,c4_sim4_pipeline,0.0,,,1
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.004711,0.146667,1,,,0.0,,0.015686,49,0,,,,,,,,0.0,,,,1,,0.999925,none,none,none,0.999925,graph_maintenance_disabled,0.0,,1,7,block_dropout,0.999925,0.999925,46,c4_sim4_pipeline,0.0,,,0
,,,,correction_write_disabled_oomphlap,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.00061,0.086667,1,,,1.0,,0.012024,50,0,,,,,,,,0.0,,,,0,,0.999585,none,verify_disabled_oomphlap,none,0.999585,graph_maintenance_disabled,1.0,,0,8,phase_noise,0.999585,0.999585,42,c4_sim4_pipeline,0.0,,,0
,,,,multi_stage_failure,,0.0,,,,,,,,0.003828,0.0,0.003828,,,,0,0.006202,0.146667,0,,,0.0,,0.007568,51,2,,,,,,,,6.1e-05,,,,0,,0.099187,partial_hologram_correction_failure,multi_stage_failure,partial_hologram_correction_failure,0.09536,multi_stage_failure,0.0,,0,9,distributed_dropout,0.099187,0.09536,49,c4_sim4_pipeline,0.0,,,1
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000191,0.093333,1,,,0.0,,0.003784,52,0,,,,,,,,0.0,,,,1,,0.999993,none,none,none,0.999993,graph_maintenance_disabled,0.0,,1,10,phase_noise,0.999993,0.999993,26,c4_sim4_pipeline,0.0,,,0
,,,,correction_write_disabled_oomphlap,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000642,0.106667,1,,,1.0,,0.012634,53,0,,,,,,,,0.0,,,,0,,0.999486,none,verify_disabled_oomphlap,none,0.999486,graph_maintenance_disabled,1.0,,0,11,phase_noise,0.999486,0.999486,41,c4_sim4_pipeline,0.0,,,0
,,,,correction_write_disabled_hologram,,0.0,,,,,,,,0.0,0.0,0.0,,,,0,0.008716,0.126667,0,,,0.0,,0.018433,54,2,,,,,,,,6.1e-05,,,,0,,0.153067,partial_hologram_correction_failure,verify_disabled_hologram,partial_hologram_correction_failure,0.153067,multi_stage_failure,0.0,,0,12,block_dropout,0.153067,0.153067,28,c4_sim4_pipeline,0.0,,,1
,,,,none,,1.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000307,0.133333,1,,,0.0,,0.006042,55,0,,,,,,,,0.0,,,,1,,0.999957,none,none,none,0.999957,graph_maintenance_disabled,0.0,,1,13,phase_noise,0.999957,0.999957,42,c4_sim4_pipeline,0.0,,,0
,,,,correction_write_disabled_oomphlap,,0.0,,,,,,,,0.0,0.0,0.0,,,,0,0.000527,0.146667,0,,,0.0,,0.002808,56,0,,,,,,,,0.0,,,,0,,0.985436,oomphlap_retry_failed,verify_disabled_oomphlap,oomphlap_retry_failed,0.985436,multi_stage_failure,0.0,,0,14,distributed_dropout,0.985436,0.985436,31,c4_sim4_pipeline,0.0,,,0
,,,,multi_stage_failure,,0.0,,,,,,,,0.0,0.0,0.0,,,,0,0.013273,0.166667,0,,,0.0,,0.038452,57,2,,,,,,,,6.1e-05,,,,0,,0.266069,partial_hologram_correction_failure,multi_stage_failure,partial_hologram_correction_failure,0.266069,multi_stage_failure,0.0,,0,15,block_dropout,0.266069,0.266069,45,c4_sim4_pipeline,0.0,,,1
