avg_correction_boundary_rewrite_fraction,avg_hologram_damage_cluster_count,avg_second_pass_recovery_delta,hologram_damage_fraction,no_verify_success,oomphlap_retry_success_rate_given_attempt,phase_noise_success_rate,pipeline_failure_rate,avg_correction_rewrite_coverage_fraction,avg_failed_oomphlap_retry_draw_minus_success_rate,oomphlap_verify_flag,n_trials,uplift_vs_no_consolidate_bleach,pipeline_success,avg_correction_rewrite_fraction,avg_oomphlap_initial_bit_error_count,trial,avg_failed_hologram_threshold_gap_after_recovery,graph_critical_ratio_no_consolidate_bleach,failure_count_critical_node_backlog,correction_second_pass_recovery_delta,correction_best_stage,no_correction_write_success,ssim_no_correction_write,hologram_diff_count,hologram_missing_count,hologram_mode,correction_rewrite_coverage_fraction,avg_hologram_missing_count,hologram_threshold_crossed_after_recovery,correction_rewrite_applied,avg_hologram_missing_to_diff_ratio,oomphlap_verify_rate,avg_correction_boundary_rewrite_capture_rate,avg_correction_interior_selected_count,avg_oomphlap_min_threshold_distance,failure_count_multi_stage,oomphlap_verify_trigger_margin,avg_hologram_threshold_gap_before_recovery,correction_focus_strength,correction_interior_candidate_count,correction_total_recovery_delta,hologram_missing_to_diff_ratio,phase_noise_threshold_crossing_rate,ssim_no_consolidate_bleach,correction_attempts_used,distributed_dropout_recovery_delta,correction_interior_rewrite_fraction,failure_reason_no_correction_write,avg_hologram_diff_count,correction_boundary_selected_count,avg_correction_boundary_rewrite_coverage_fraction,avg_rewrite_recovery_delta,avg_hologram_threshold_gap_after_recovery,corrupt_size,hologram_largest_cluster_share,avg_hologram_damage_fraction,hologram_severity_score,declared_ablation_count,correction_boundary_rewrite_capture_rate,avg_correction_focus_strength,oomphlap_retry_attempted,no_consolidate_bleach_success_rate,correction_boundary_rewrite_coverage_fraction,avg_hologram_largest_cluster_bbox_fraction,avg_correction_interior_rewrite_fraction,avg_first_pass_recovery_delta,ssim_pipeline,avg_hologram_focus_boundary_share,hologram_largest_cluster_bbox_fraction,oomphlap_retry_succeeded,modeled_ablation_count,correction_boundary_rewrite_fraction,failure_reason_no_consolidate_bleach,avg_hologram_geometry_score,no_correction_write_success_rate,distributed_dropout_threshold_crossing_rate,block_dropout_success_rate,second_pass_usage_rate,correction_interior_rewrite_coverage_fraction,failure_count_repair_backlog,avg_total_recovery_delta,avg_oomphlap_retry_draw_minus_success_rate,block_dropout_recovery_delta,correction_interior_rewrite_capture_rate,all_ablations_modeled,correction_rewrite_recovery_delta,avg_hologram_largest_cluster_share,oomphlap_min_threshold_distance,avg_oomphlap_final_bit_error_count,avg_correction_attempts_used,threshold_crossing_recovery_rate,avg_hologram_focus_interior_share,distributed_dropout_success_rate,oomphlap_verify_margin_trigger_rate,focus_source_missing_rate,no_consolidate_bleach_success,correction_first_pass_recovery_delta,hologram_focus_interior_share,failure_count_partial_hologram_correction_failure,failure_count_oomphlap_retry_failed,uplift_vs_no_verify,uplift_vs_modeled_ablations,ssim_no_verify,phase_noise_recovery_delta,oomphlap_retry_attempt_rate,scenario_seed,min_success_rate,full_success_rate,hologram_damage_cluster_count,oomphlap_initial_bit_error_count,correction_rewrite_fraction,hologram_missing_fraction,hologram_geometry_score,hologram_threshold_gap_closed_fraction,uplift_vs_no_correction_write,claim,avg_correction_interior_rewrite_capture_rate,avg_correction_interior_candidate_count,failure_detail_full,oomphlap_retry_draw_minus_success_rate,avg_hologram_threshold_gap_closed_fraction,rewrite_usage_rate,avg_correction_boundary_selected_count,avg_correction_interior_rewrite_coverage_fraction,oomphlap_verify_channel_failure_trigger_rate,avg_hologram_severity_score,avg_correction_boundary_candidate_count,avg_hologram_largest_cluster_fill_ratio,failure_count_verify_missed_hologram,hologram_threshold_gap_before_recovery,correction_used_second_pass,correction_interior_selected_count,failure_reason_full,hologram_focus_boundary_share,block_dropout_threshold_crossing_rate,oomphlap_verify_trigger_channel_failure,avg_hologram_missing_fraction,hologram_largest_cluster_fill_ratio,hologram_focus_source,hologram_threshold_gap_after_recovery,correction_boundary_candidate_count,oomphlap_final_bit_error_count,failure_count_verify_missed_oomphlap,no_verify_success_rate,graph_critical_ratio_pipeline,failure_reason_no_verify
,,,0.039795,0,,,,,,1,,0.0,0,,,0,,0.153333,,0.045207,second_pass,0,0.109859,652,1,block_dropout,0.921659,,0,1,,,,,,,0,,0.737024,552,0.19846,0.001534,,0.30832,2,,1.0,multi_stage_failure,,48,,,,40,0.866564,,0.175683,,1.0,,1,,0.073733,,,,0.30832,,0.068481,0,,0.337198,multi_stage_failure,,,,,,0.847926,,,,,1.0,,0.042251,,0.173591,,,,,,,,0,0.111002,0.884135,,,0.0,,0.109859,,,42,,,38,1,0.552303,6.1e-05,0.775815,0.236223,0.0,c4_sim4_pipeline,,,"partial_hologram_correction_failure,oomphlap_retry_failed",0.017751,,,,,,,,,,0.840141,1,552,multi_stage_failure,0.115865,,1,,0.503565,diff_mask,0.64168,48,1,,,0.0,multi_stage_failure
,,,0.004089,1,,,,,,1,,1.0,1,,,1,,0.133333,,0.0,pre,1,0.995669,67,0,distributed_dropout,0.0,,0,0,,,,,,,0,,0.157836,0,0.0,0.0,,0.995669,0,,0.337323,none,,0,,,,31,0.134328,,0.028778,,0.0,,0,,0.0,,,,0.995669,,0.000549,0,,0.097889,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.097687,,,,,,,,0,0.0,0.111111,,,0.0,,0.995669,,,43,,,31,0,0.171032,0.0,0.350746,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.888889,,1,,1.0,diff_mask,0.0,0,0,,,0.0,none
,,,0.012878,1,,,,,,0,,1.0,1,,,2,,0.113333,,0.0,pre,1,0.999466,211,0,phase_noise,0.0,,0,0,,,,,,,0,,0.076244,0,0.0,0.0,,0.999466,0,,0.255547,none,,0,,,,45,0.85782,,0.023759,,0.0,,0,,0.0,,,,0.999466,,0.023193,0,,0.061712,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.144632,,,,,,,,0,0.0,0.805263,,,0.0,,0.999466,,,44,,,30,0,0.146398,0.0,0.762444,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.194737,,0,,0.476316,diff_mask,0.0,0,0,,,0.0,none
,,,0.012634,1,,,,,,1,,1.0,1,,,3,,0.173333,,0.0,pre,1,0.999493,207,0,phase_noise,0.0,,0,0,,,,,,,0,,0.083053,0,0.0,0.0,,0.999493,0,,0.262685,none,,0,,,,42,0.937198,,0.025788,,0.0,,0,,0.0,,,,0.999493,,0.023193,0,,0.062217,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.152444,,,,,,,,0,0.0,0.805263,,,0.0,,0.999493,,,45,,,13,0,0.152718,0.0,0.83053,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.194737,,1,,0.510526,diff_mask,0.0,0,0,,,0.0,none
,,,0.004272,1,,,,,,1,,1.0,1,,,4,,0.153333,,0.0,pre,1,0.984576,70,0,distributed_dropout,0.0,,0,0,,,,,,,0,,0.155893,0,0.0,0.0,,0.984576,0,,0.335373,none,,0,,,,25,0.128571,,0.028476,,0.0,,0,,0.0,,,,0.984576,,0.000549,0,,0.097572,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.158907,,,,,,,,0,0.0,0.111111,,,0.0,,0.984576,,,46,,,21,0,0.169898,0.0,0.346429,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.888889,,1,,1.0,diff_mask,0.0,0,0,,,0.0,none
,,,0.03418,0,,,,,,1,,0.0,0,,,5,,0.14,,0.073564,second_pass,0,0.265653,560,1,block_dropout,0.948122,,0,1,,,,,,,0,,0.757405,482,0.383802,0.001786,,0.649455,2,,1.0,correction_write_disabled_hologram,,48,,,,36,0.901786,,0.17801,,1.0,,0,,0.085868,,,,0.649455,,0.063721,0,,0.346955,multi_stage_failure,,,,,,0.862254,,,,,1.0,,0.271515,,0.115439,,,,,,,,0,0.038723,0.87931,,,0.0,,0.265653,,,47,,,30,0,0.571067,6.1e-05,0.797268,0.560829,0.0,c4_sim4_pipeline,,,partial_hologram_correction_failure,0.0,,,,,,,,,,0.684347,1,482,partial_hologram_correction_failure,0.12069,,1,,0.483716,diff_mask,0.300545,48,0,,,0.0,verify_disabled_hologram
,,,0.039551,0,,,,,,1,,1.0,1,,,6,,0.153333,,0.0,rewrite,0,0.044296,648,1,block_dropout,1.0,,1,1,,,,,,,0,,0.788212,608,0.955704,0.001543,,1.0,1,,1.0,multi_stage_failure,,39,,,,34,0.932099,,0.186604,,1.0,,1,,0.060278,,,,1.0,,0.070557,1,,0.362035,graph_maintenance_disabled,,,,,,0.939722,,,,,1.0,,0.770917,,0.169461,,,,,,,,0,0.184787,0.885813,,,1.0,,0.044296,,,48,,,28,1,0.600068,6.1e-05,0.829697,1.0,1.0,c4_sim4_pipeline,,,none,-0.131568,,,,,,,,,,0.905704,0,608,none,0.114187,,1,,0.522491,diff_mask,0.0,39,0,,,0.0,multi_stage_failure
,,,0.015686,1,,,,,,1,,1.0,1,,,7,,0.146667,,0.0,pre,1,0.999925,257,0,block_dropout,0.0,,0,0,,,,,,,1,,0.492793,0,0.0,0.0,,0.999925,0,,0.897159,none,,0,,,,46,0.533074,,0.110214,,0.0,,0,,0.0,,,,0.999925,,0.017578,0,,0.233896,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.054319,,,,,,,,0,0.0,0.777778,,,0.0,,0.999925,,,49,,,55,0,0.353646,0.0,0.518729,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.222222,,1,,0.475694,diff_mask,0.0,0,0,,,0.0,none
,,,0.012024,0,,,,,,1,,1.0,1,,,8,,0.086667,,0.0,pre,0,0.999585,197,0,phase_noise,0.0,,0,0,,,,,,,0,,0.074929,0,0.0,0.0,,0.999585,0,,0.254209,correction_write_disabled_oomphlap,,0,,,,42,0.857868,,0.023332,,0.0,,1,,0.0,,,,0.999585,,0.024353,1,,0.061617,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.151941,,,,,,,,0,0.0,0.809524,,,1.0,,0.999585,,,50,,,26,1,0.145218,0.0,0.749291,0.0,1.0,c4_sim4_pipeline,,,none,-0.042357,,,,,,,,,,0.0,0,0,none,0.190476,,1,,0.423559,diff_mask,0.0,0,0,,,0.0,verify_disabled_oomphlap
,,,0.007568,0,,,,,,1,,0.0,0,,,9,,0.146667,,0.037258,second_pass,0,0.09536,124,1,distributed_dropout,0.274194,,0,1,,,,,,,0,,0.19879,15,0.572136,0.008065,,0.667495,2,,0.37992,multi_stage_failure,,19,,,,49,0.274194,,0.04163,,1.0,,1,,0.153226,,,,0.667495,,0.002197,1,,0.105,multi_stage_failure,,,,,,0.120968,,,,,1.0,,0.524084,,0.130208,,,,,,,,0,0.010794,0.444444,,,0.0,,0.09536,,,51,,,34,1,0.196428,6.1e-05,0.441756,0.669446,0.0,c4_sim4_pipeline,,,partial_hologram_correction_failure,-0.391063,,,,,,,,,,0.85464,1,15,partial_hologram_correction_failure,0.555556,,1,,0.944444,diff_mask,0.282505,19,0,,,0.0,multi_stage_failure
